id,p1,p2,winner,score,turns,time
216280608,0,0,1,30,110,1752189
216280608,0,0,1,25,139,2068822
216280608,0,0,2,25,86,1137918
216280608,0,0,2,29,119,2001820
216280608,0,0,2,25,80,1178575
216280608,0,0,2,29,103,1543569
216280799,0,0,2,34,90,1386416
216280799,0,0,1,25,98,1722450
216280799,0,0,1,25,70,983362
216280799,0,0,1,25,89,1357687
216280799,0,0,1,25,108,2008027
216280799,0,0,1,25,141,2175570
216280798,0,0,2,26,121,2364291
216280798,0,0,1,25,105,1869244
216280798,0,0,2,25,88,1387383
216280798,0,0,2,25,103,1450348
216280798,0,0,1,25,104,1640532
216280797,0,0,1,25,110,1846017
216280797,0,0,2,26,124,2036099
216280797,0,0,2,25,86,1282283
216280797,0,0,2,26,113,2157666
216280797,0,0,2,25,142,2702234
216280797,0,0,2,25,82,1695583
216280797,0,0,1,25,114,2338427
216280797,0,0,2,30,89,1356520
216280796,0,0,1,25,101,1830180
216280796,0,0,2,25,97,1492779
216280796,0,0,1,25,98,1404051
216280796,0,0,2,25,86,1258385
216280796,0,0,1,34,34,525720
216280796,0,0,2,28,122,2391188
216280796,0,0,2,25,112,1929627
216280796,0,0,2,32,84,1254521
216280795,0,0,2,28,97,1552787
216280795,0,0,1,31,98,1827023
216280795,0,0,2,27,106,1512759
216280795,0,0,2,30,78,1506237
216280795,0,0,2,25,108,1773190
216280795,0,0,2,25,78,1115777
216280795,0,0,1,30,70,1002142
216280794,0,0,1,27,128,2016106
216280794,0,0,2,34,47,632514
216280794,0,0,2,25,101,1715965
216280794,0,0,2,25,128,2514595
216280794,0,0,1,28,112,2054884
216280794,0,0,2,26,122,3052840
216280794,0,0,2,25,108,1856206
216280794,0,0,2,25,93,2061676
216280793,0,0,1,25,126,2713255
216280793,0,0,2,29,69,1085190
216280793,0,0,2,27,108,1978302
216280793,0,0,2,25,102,1742067
216280793,0,0,2,26,109,2122157
216280793,0,0,1,30,129,2499797
216280793,0,0,2,25,86,1856704
216280793,0,0,2,25,86,1298560
216280792,0,0,2,27,87,1373660
216280792,0,0,2,26,126,2618410
216280792,0,0,1,30,106,2030693
216280792,0,0,1,29,120,2527268
216280792,0,0,1,27,80,1358298
216280792,0,0,1,25,126,2813801
216280792,0,0,1,25,68,1059834
216280792,0,0,2,25,116,2386269
216280791,0,0,1,26,94,2151193
216280791,0,0,1,29,99,1864561
216280791,0,0,2,36,27,370589
216280791,0,0,1,32,32,459420
216280791,0,0,2,25,159,3632795
216280791,0,0,2,25,92,1611443
216280791,0,0,1,25,79,1805174
216280791,0,0,2,25,66,1473313
216280790,0,0,2,25,89,1808893
216280790,0,0,2,25,91,1716417
216280790,0,0,2,25,81,1238534
216280790,0,0,2,26,89,1176527
216280790,0,0,1,25,142,2606916
216280790,0,0,2,25,114,1862906
216280790,0,0,2,31,82,1418624
216280789,0,0,1,32,45,573294
216280789,0,0,2,28,82,1142806
216280789,0,0,2,25,86,1320211
216280789,0,0,1,27,112,1638089
216280789,0,0,2,28,166,2764636
